title,year,rating,review_count,stars
The Return of the Unwanted Wife,2024,7.7,(104),"Christine Havens, Eric Guilmette, Vivian Holdsworth"
Let Me Go My Queen,2023,7.9,(28),"Ashley Michelle Grant, Kyra Wisely, Felisha Cooper"
One Fateful Night with My Boss,2024,7.5,(236),"Cosette Hatch, Ryan Watson Henderson, Crystal St John"
Mated to My Fiance's Alpha Daddy,2024,7.6,(149),"Emma Hullar, Nick Ritacco, Andrue Velarde"
Mafia's Good Girl,2024,6.8,(705),"Jackson Tiller, Sia Kravchenko, Victoria Martzloff"
Spoiled by Four Billionaires,2024,7.7,(100),"Kirby Ellwood, Elijah Van Zanten, Mary Foster"
"Revenge Marriage, Sweet Love",2023,6.7,(349),"Jarred Harper, Emma Kotos, Rebecca Tarabocchia"
Rebel in Devil's Shackle,2023,6.3,(123),"Jackson Tiller, Sofia López, Jason Morciglio"
Flash Marriage with My Werewolf Husband,2024,8.0,(163),"Summer Soderstrom, Emily Gateley, Ryan Watson Henderson"
CEO's Substitute Wife,2024,7.1,(67),"Sihang 'Annie' Cheng, Kelley Faith Barrett, Faith Barrett"
I Wish It Were You,2024–,7.4,(1K),"Jackson Tiller, Grace Woods Swanson, Karen Margaret Cole"
The Deal with Love,2024,7.5,(41),"Kendyl Twa, Fraser Murray, Joe Berg"
The Double Life of My Secret Husband,2024,7.5,(23),"Allen Williamson, Rieschel Nieboer, Jake Galluccio"
"Billionaire Twins: Daddy, Please Take Mommy",2024,7.6,(34),"Saana, Nic Westaway, Mitch G. Nel"
Stripper Nanny: Forbidden Romance with Mafia,2024,7.4,(57),"Sophia Delucchi, Levi Peterson, Simone Harris"
"Marry My Husband, Please!",2024,7.7,(49),"Crystal St John, Nicolas James Wilson, Ben Whalen"
Midnight Love,2023,,,"Natalia Sophia Gonzalez, Colton Carlson, Kylie Cunningham, Joseph Echavarria"
Revenge of the Abandoned Heiress,2024,8.1,(65),"Luke Brown, Christopher Quartuccio, Jean Evans"
Double Contract Love,2024,7.8,(54),"Casey Schryer, Jennings Brower, Jessica Ruth Bell"
Don't Tell My Boss I'm a Girl,2024,7.7,(68),"Katherine Smith-Rodden, Kelsey Susino, Felisha Cooper"
Stop Calling Me Miss,2024,6.9,(34),"JC Ann, Eliza Roberts, Paul Addison"
Mated to My Fiance's Alpha Daddy,2024,7.6,(149),"Emma Hullar, Nick Ritacco, Andrue Velarde"
Chasing My Rejected Wife,2024,7.2,(491),"Connor Tuohy, Haley Evans, Jackie McCarthy"
Spoiled by My Billionaire Husband,2023–2024,8.0,(93),"Nick Ritacco, Eddie Vincent, Patrick McDermott"
Spoiled by the Billionaire,2024,7.8,(58),"Sijing Yang, Sia Kravchenko, Kasey Esser, Sarah Iranca"
Spoiled by My CEO Husband,2024,8.5,(80),"Morgan Tate, Jennings Brower, Alexandria Watts"
Secretly Married to the CEO,2024,6.8,(26),"Bianca Buchholtz, Fraser Murray, Yago Borges"
My Gigolo Alpha,2024,7.8,(77),"Eric Guilmette, Glory Rodriguez, Keilah Jude"
Cherished by My Ex-Husband's Brother,2024,7.7,(75),"Brittany Marsicek, Paul Addison, Lawson Greyson"
The Heiress and Her Three Princes,2024,6.9,(59),"Emily Gateley, Freddy Piazza, Luca Greenspun"
Rejected Luna's Prince,2024,7.8,(92),"Emily Gateley, Myles Clohessy, Felisha Cooper"
A Matter of Sin and Love,2023,5.9,(265),"Lani Castle, Daniel Jongma, Hannah Macaulay"
